"length","stratum"
42,"below"
44.9,"below"
45.2,"below"
45.5,"below"
45.9,"below"
46.8,"below"
47.1,"below"
47.2,"below"
47.5,"below"
47.9,"below"
48.1,"below"
48.5,"below"
48.7,"below"
50.5,"below"
51.2,"below"
51.7,"below"
53,"below"
30.5,"above"
33,"above"
38.9,"above"
39.3,"above"
40.2,"above"
41,"above"
42,"above"
46.5,"above"
47.4,"above"
48.6,"above"
50.8,"above"
