Chatbot,Puls
Text,86.4
Text,68.9
Text,83.5
Text,78
Text,80.3
Text,87.5
Text,85.6
Text,81
Text,81
Text,59.3
Text,63.8
Text,88.3
Text,100.4
Text,67.8
Text,82.2
Text,73.5
Avatar,72.4
Avatar,81.5
Avatar,72.8
Avatar,88.4
Avatar,93.7
Avatar,130.4
Avatar,102.3
Avatar,94.9
Avatar,138.5
Avatar,93.6
Avatar,104.4
Avatar,77.8
Avatar,94.8
Avatar,100.6
Avatar,110.3
