Proevenummer,HgCl2,CuCl2
1,0.025,0.030
2,0.022,0.031
3,0.014,0.019
4,0.001,0.000
5,0.002,0.004
6,0.003,0.016
7,0.003,0.016
8,0.009,0.018
9,0.008,0.012
10,0.004,0.013
11,0.031,0.037
12,0.020,0.041
