15	16	13	24	15	19	12	10	20	12	20	9	12	21
14	21	9	11	5	22	11	8	26	9	11	15	18	21
15	18	14	17	22	8	6	18	8	18	19	13	13	8
18	12	14	14	11	25	15	10	22	11	12	7	8	22
11	15	12	17	12	18	12	14	19	12	27	22	5	17
10	24	12	7	15	21	12	20	20	18	23	18	22	19
19	19	8	13	7	23	12	10	22	11	8	22	15	21
31	11	24	17	17	14	22	17	16	17	11	26	11	15
18	10	10	16	11	15	8	11	17	12	14	18	21	16
11	16	16	24	23	6	12	9	8	8	15	14	18	6
9	13	14	16	12	14	30	8	15	7	6	9	12	14
12	13	19	13	15	19	7	7	18	10	15	12	24	18
23	10	11	19	20	14	22	9	13	8	24	16	15	15
17	11	12	19	20	12	14	15	15	15	6	16	13	14
8	16	22	19	21	12	13	19	12	20	6	14	23	15
24	11	13	19	4	7	12	21	9	25	16	14	7	10
