Nedboer,Erosion
775,6560
550,5910
520,6830
485,6540
510,7080
595,7970
615,7875
545,8200
653,8300
770,8800
590,9050
637,9380
663,9250
825,10150
795,10380
595,10970
573,10100
825,11700
808,11725
705,12100
715,12050
730,12200
795,12100
850,13050
845,13540
