Version,Ugedag,Antal
over4,1,16853
over4,2,16553
over4,3,16490
over4,4,17399
over4,5,16348
over4,6,17019
over4,7,17753
over5,1,2374
over5,2,2511
over5,3,2291
over5,4,2497
over5,5,2153
over5,6,2282
over5,7,2360
renset,1,780
renset,2,847
renset,3,793
renset,4,831
renset,5,785
renset,6,821
renset,7,779
