Trykforskel,Vandfoering
1.11,3.6
1.11,3.99
1.11,3.67
2.36,7.65
2.36,6.86
2.36,8.12
4,12
4,12.57
4,11.68
4.9,14.28
4.9,14.65
4.9,13.69
5.02,15.2
5.02,14.16
5.02,14.89
7.63,21.8
7.63,21.24
7.63,21.24
8.13,23.41
8.13,21.89
8.13,22.47
8.58,24.5
8.58,24.05
8.58,24.71
9.86,27.8
9.86,28.29
9.86,26.75
10.89,29.4
10.89,31.15
10.89,30.97
