"pH","core","position"
7.2,1,"bottom"
7.6,1,"middle"
7.5,1,"top"
6.7,2,"bottom"
7.1,2,"middle"
7.2,2,"top"
7,3,"bottom"
7.2,3,"middle"
7.3,3,"top"
7,4,"bottom"
7.4,4,"middle"
7.5,4,"top"
7,5,"bottom"
7.7,5,"middle"
7.7,5,"top"
6.9,6,"bottom"
7.7,6,"middle"
7.6,6,"top"
