"growth","color"
24.7,"red"
13.8,"red"
18.3,"red"
19.8,"red"
18.5,"red"
15.9,"red"
25.8,"red"
2.2,"red"
30,"red"
9.7,"green"
18.2,"green"
9.7,"green"
14.7,"green"
19.7,"green"
6.5,"green"
9.1,"green"
3.9,"green"
27.1,"green"
